"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"1706937","2015-09-27 10:35:38","phil","2.2200","140","65","C","5","<p>You are the team doctor for Chelsea football club. During the final minutes of a match against Swansea, Chelsea are down to ten men when Eden Hazard trips and is seen to be lying on the floor, and the referee waves you on. It is extremely likely that Hazard has merely milked a tackle and is just lying on the floor because he is tired, and if you attend to him Chelsea will be down to just nine men as a consequence and would be at risk of losing the game. Jose Mourinho, the Chelsea manager, will be very angry if you attend to him as he is anxious for his team to win.&nbsp;</p><p>What is the most appropriate next step for you to take?</p><p>&nbsp;</p><p><img src=""https://s.yimg.com/bt/api/res/1.2/DJMilDuSq8Uz96DL39AqWQ--/YXBwaWQ9eW5ld3NfbGVnbztmaT1pbnNldDtoPTYzNDtpbD1wbGFuZTtxPTc1O3c9OTUw/http://media.zenfs.com/en_us/News/Reuters/2015-04-04T172821Z_71170101_MT1ACI13620467_RTRMADP_3_FOOTBALL.JPG"" alt="""" width=""950"" height=""634"" /></p>","<p>Ask the team physiotherapist to assess Hazards condition and let you know if treatment is needed</p>","<p>Call over to Hazard to ask whether or not he needs help</p>","<p>Ignore any pressure from Jose Mourinho&nbsp;and attend to the player&nbsp;</p>","<p>Wait a few minutes until the game is over before approaching the player to asses him</p>","<p>Approach Jose Mourinho and ask him what he would like you to do</p>","<p>When a player is injured, it is the duty of the referee to permit medical assessment and evaluation. At this moment, ""the player becomes a patient of the medical team, and it is the duty and obligation of club medical staff to attend to that patient accordingly and without prejudice to the interests of anyone else, including the club employing them. Factors extraneous to the immediate medical needs of the patient (such as the stage and state of the game) cannot be part of their consideration at that time"" (Eamonn Salmon, chief executive of the Football Medical Association).</p>","Professionalism"
"1706948","2015-09-27 10:54:49","phil","2.7400","139","66","E","5","<p>How many bones are in the hand (including the wrist)?</p>","<p>23</p>","<p>24</p>","<p>25</p>","<p>26</p>","<p>27</p>","<p>There are a total of 27 bones in the hand, including the 8 bones in the wrist (can you name them?). Each finger has one each of metacarpals, proximal phalanges, intermediate phalanges and distal phalanges. The thumb has all of these except it seems to be missing an intermediate phalange.</p>","-"
"1713568","2015-09-30 22:35:05","1403577","2.5700","92","54","D","5","<p>You are on placment in A&amp;E. &nbsp;A 32 year old man presents with an anaphylaxis reaction after accidently eating peanuts. &nbsp;His airway begins to swell and he is struggling to breathe. &nbsp;Your consultant asks you to insert a definitive airway. &nbsp;Which of the following is a definitive airway?</p>","<p>Laryngeal Mask Airway (LMA)</p>","<p>Orophayrngeal (OP) airway</p>","<p>Nasopharyngeal (NP) airway</p>","<p>Endotracheal intudation</p>","<p>iGel</p>","<p>Endotracheal intubation is the only option which gives a definitive airway.</p>","Emergency Medicine, Anaesthetics, Airway Managment, Acute Care"
"1713569","2015-09-30 22:35:39","1406401","2.6200","88","53","E","5","<p>A patient abuses you verbally. What is the most appropriate response?</p>","<p>Abuse them back physically&nbsp;</p>","<p>Abuse them back verbally&nbsp;</p>","<p>Ring security&nbsp;</p>","<p>Inform the GMC</p>","<p>Leave the area and inform a senior member of staff</p>","<p>If you abuse the patient you will most likely undergo a fitness to practice. You shouldn't inform.the police unless you have been physically abused or have suffered significant emotional trauma. Ringing the GMC would be time consuming and useless unless afterwards for advice. Security wouldn't make it in time.</p>","-"
"1714076","2015-10-01 01:52:59","1406500","3.0800","152","87","B","5","<p>Which cells invaginate at the primitive streak to form the three germ layers?</p>","<p>Amnioblasts</p>","<p>Epiblasts</p>","<p>Hypoblasts</p>","<p>Cytotrophoblasts</p>","<p>Syncytiotrophoblasts</p>","<p>The primitive streak is visible by day 16 and is signalled to form by Hensons node (AKA Primitive node).</p><p>The epiblast layer of the bilaminar disc then invaginate to displace the hypoblast cell layer. The first cells in form the Notocord. Cells displacing the hypoderm form endoderm. Cells in the middle form mesoderm and the top layer forms ectoderm. The hypoblast cells line the primitive yolk sac.</p><p>Syncytiotrophoblasts invade the uterine endometrium, they have no cell boundaries. The cytotrophoblast are mononucleate and mitotically active, they can differentiate to become syncytiotrophobasts. </p>","Case 7, Embryology"
"1714177","2015-10-01 02:25:38","1406500","3.1800","151","89","C","4","<p>Whilst on placement a pregnant woman asks you what kind of abnormality spina bifida would be classed as. The correct response is...</p>","<p>deformation</p>","<p>disruption</p>","<p>malformation</p>","<p>A syndrome</p>","","<p>Malformations occur during the formation of structures and can be caused by environmental or genetic factors. The majority of these occur during the embryonic period (weeks 3-8) as this is when organogenesis occurs.</p><p>Disruptions result in morphological alterations of pre existing structures due to destructive processes. Vascular accidents leading to bowel atresias and defects produced by amniotic bands are examples.</p><p>Deformations are due to mechanical forces that mold part of the fetus over a prolongued period. Clubfoot is an example.</p><p>Syndrome is a group of anomalies occuring together what have a specific common cause. There is a known risk of recurrence.</p>","Case 7"
"1714261","2015-10-01 03:49:21","1406500","3.0800","139","83","A","5","<p>A pregnant woman asks you at the end of the 2nd week of develoment what the composition of the embryonic disc is. What is the correct response?</p>","<p>Epiblast and hypoblast</p>","<p>Epiblast only</p>","<p>Ectoderm and endoderm</p>","<p>Epiblast, mesoderm and hypoblast</p>","<p>Ectoderm, endoderm and mesoderm</p>","<p>At the end of week two the embryoblast consists of the two layers epiblast (tall columnar in shape) and hypoblast. Called the bilaminar disc. The three germ layers are not formed until after invagination occurs, around day 16, at the primitive streak where epiblast cells invaginate to form the three germ layers. This is known as the trilaminar disc. </p>","Embryology, Case 7"
"1714266","2015-10-01 03:54:02","1406500","3.0100","132","76","B","5","<p>You are explaining gastrulatiuon to an inquisitive patient. You tell them that gastrulation is first indicated by...</p>","<p>Formation of the notochord</p>","<p>Formation of the primitive streak</p>","<p>Formation of the neural tube</p>","<p>Formation of the mesoderm</p>","<p>Differentaition of the trophoblast</p>","<p>The primitive streak forms on the dorsal surface of the bilaminar embryonic disc and is the first indication of gasrulation. It is here where invagination occurs.</p>","Embryology, Case 7"
"1714272","2015-10-01 04:00:27","1406500","2.1500","123","78","A","5","<p>Which of the following structures is dervied from the same structure/cell type, in the developing embryo, as the dorsal root ganglia?</p>","<p>Adrenal Medulla</p>","<p>Bicep</p>","<p>Pineal Gland</p>","<p>Kidney</p>","<p>Hair follicle cells</p>","<p>The adrenal medulla and the dorsal root ganglia are both derived from neural crest cells</p>","Embryology, Case 7"
"1714313","2015-10-01 04:49:54","1406500","3.0200","140","88","C","5","<p>A woman at 17 weeks gestation has a quadruple screening test. There is a reduced AFP level. Which abnormality is most likely under further diagnositic testing?</p>","<p>Spina Bifida</p>","<p>Ancephaly</p>","<p>Down Syndrome</p>","<p>Encephaloceles</p>","<p>Oesophageal atresia</p>","<p>Reduced AFP is associated with Downs Syndrome. The other defects are all neural tube defects and are associated with elevated AFP levels.</p>","Embryology, Case 7"
