"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"4666943","2020-10-07 22:33:41","1900461","2.7700","129","107","D","5","<p>If there is clear evidence of anaemia during pregnancy, which of the following supplements should be prescribed to the mother?</p>","<p>Folate</p>","<p>Vitamin D</p>","<p>Vitamin C</p>","<p>Iron&nbsp;</p>","<p>B9</p>","<p>Iron should be supplemented because it plays a key role in the making of red blood cells. Anaemia&nbsp;is a condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues. Having anaemia can make you feel tired and weak.</p>","-"
"4666959","2020-10-07 22:36:29","1900527","3.0200","143","122","B","5","<p>A woman in her first trimester goes to the OB/GYN for a scheduled antenatal scan.&nbsp;</p><p>&nbsp;</p><p>The doctor informs her that she is on roughly day 15 post-conception, around the time that the process of gastrulation occurs.&nbsp;</p><p>&nbsp;</p><p>The formation of which structure marks the beginning of this process?&nbsp;</p>","<p>Hensen's node&nbsp;</p>","<p>primitive streak&nbsp;</p>","<p>notochord&nbsp;</p>","<p>mesoderm&nbsp;</p>","<p>neural plate&nbsp;</p>","<p>correct answer: B -&gt; formation of the primitive streak (begins caudally) marks the beginning of gastrulation.&nbsp;</p><p>other options:&nbsp;</p><p>A: hensen's node: also known as the primitive streak is formed when the primitive streak is approaching its full length (a.k.a the organizer)&nbsp;</p><p>C: notochord: forms when migrating cells of the epiblast are channeled into a rod like mesynchymal cells&nbsp;</p><p>D: mesoderm: interposing layer between ectoderm and endoderm&nbsp;</p><p>E: neural plate: ectodermal tissue thickens and flattens to become the neural plate&nbsp;</p>","gastrulation"
"4666991","2020-10-07 22:45:58","1901418","3.1700","135","101","E","5","<p>Sarah presents to her GP with an area of bumps on her skin, confined to 1 dermatome. This is one of the symptoms of Segmental neurofibromatosis (a genetic condition in which the cutaneous and neural changes are confined to 1 region of the body).</p><p>Which of the following is a type of mosaicism has most likely occurred during her development to cause this presentation?</p>","<p>A Constitutional mutation mosaicism</p>","<p>Confined placental mosaicism</p>","<p>Germline (or gonadal) mosaicism</p>","<p>Dermatomal mosaicism</p>","<p>Late-stage somatic mosaicism&nbsp;</p>","<p>E is the correct answer</p><p>&nbsp;</p><p><strong>A:</strong> A constitutional mutation&nbsp;is inherited from a gamete (a &lsquo;germline&rsquo; mutation inherited from the sperm or the egg) or occurs soon after fertilization. The mutation is therefore present in the zygote and all its daughter cells = every cell of the body tissues and placenta</p><p><strong>B:</strong>&nbsp;The mutation occurs after some divisions in the zygote, when all of the cells in the lineage of the mutated cell will go on to for the placenta (not the embryonic tissues). Therefore, the mutation is absent from the baby and this condition cannot be passed down through generations</p><p><strong>C:</strong>&nbsp;Germline (or gonadal) mosaicism occurs when there is a mutation which is only present in the affected individual&rsquo;s testes and ovaries. Even though, this mutation can lead to a severe phenotype, they are asymptomatic</p><p><strong>D:</strong> made up answer</p><p><strong>E</strong>:&nbsp;A person with somatic mosaicism in later stages of division will have relatively few cells with the mutation. This may manifest as a small affected body segment and / or section of the placenta</p><p>&nbsp;</p><p>See Case 7 lecture: 'Unusual Patterns of Inheritance'</p>","Unusual patterns of inheritance, mosaicism, zygote, embryology, somatic mosaicism"
"4667008","2020-10-07 22:50:17","1901201","3.1000","140","113","E","5","<p>Where does fertilisation of the ovum usually take place?<br /><br /></p>","<p>The isthmus of one of the fallopian tubes</p>","<p>The infundibulum of one of the fallopian tubes</p>","<p>The uterus</p>","<p>The cervix&nbsp;</p>","<p>The ampulla of one of the fallopian tubes</p>","<p>Fertilisation of the ovum by the sperm most commonly occurs in the ampulla of one of the fallopian tubes. Cilia of the fallopian tube will then migrate the fertilised ovum along the fallopian tube towards the uterus, for eventual implantation in the uterine wall.&nbsp;</p>","Development of the normal embryo"
"4667055","2020-10-07 23:04:40","1707035","3.3300","151","127","B","5","<p>Julie has a family history of sickle cell disease and attends a genetic counselling session to discuss the risk of passing on the condition if she were to have children. Julie is healthy, but both of her parents are carriers of the gene for sickle cell disease. What is the probability that Julie is carrier of the sickle cell gene?</p>","<p>1/4</p>","<p>2/3</p>","<p>1/2</p>","<p>3/4</p>","<p>1/1</p>","<p><img src=""../images/view.php?file=402210"" alt=""no description"" /></p><p>&nbsp;</p><p>As Julie is healthy, the possibility that she possesses two sickle cell genes can be excluded. This means that the possible combinations are those shown within the red area. As there are now only three possible options, of which two are carrier status, the probability she is a carrier is 2/3.</p>","Genetics, genes"
"4667076","2020-10-07 23:09:52","1903292","3.2700","177","138","A","5","<p>After Joey remembers that he once donated sperm, he starts wondering if any of his sperm fertilised an egg.</p><p>&nbsp;</p><p>He then gets curious about how this process actually happens.&nbsp;</p><p>&nbsp;</p><p>How would you describe the stages of the acrosome reaction to Joey?</p>","<p>In the <strong>ampulla</strong>, sperm release protease <em>hyaluronidase</em> enzymes to digest the <strong>corona radiata</strong> then <em>acrosin</em> digests the <strong>zona pellucida</strong> and the membrane of the oocyte fuses with the sperm's membrane.</p>","<p>In the <strong>Infundibulum</strong>, the acrosome around the head of the sperm releases protease <em>hyaluronidase</em> enzymes to digest the <strong>corona radiata</strong> then <em>acrosin</em> digests the <strong>zona pellucida</strong>&nbsp;and the membrane of the oocyte fuses with the sperm's membrane.</p>","<p>In the <strong>ampulla</strong>,&nbsp;sperm release protease <em>hyaluronidase</em> enzymes to digest the <strong>zona pellucida</strong> then <em>acrosin</em> digests the <strong>corona radiata</strong>&nbsp;and the membrane of the oocyte fuses with the sperm's membrane.</p>","<p>In the <strong>fallopian tube</strong>, the head of the sperm contains <strong>glycoproteins</strong> which allow is to bind to the zona pellucida of the ovum. This binding causes a series of cell signalling reactions in the egg cell allowing it to become permeable to the head of the sperm and so the membrane of the sperm fuses with the egg cell.</p>","<p>Joey, can't help you mate, I really have no idea</p>","<p>The acrosome reaction usually takes place in the ampulla of the fallopian tube.&nbsp;</p><p>&nbsp;</p><p>As the sperm approaches, glycoprotiens on the outer surface of the sperm then bind with glycoprotiens on the zona pellucida of the ovum.</p><p>&nbsp;</p><p>The first stage is penetration of the corona radiata,&nbsp;by releasing hyaluronidase from the acrosome to digest cumulus cells surrounding the oocyte and exposing acrosin attached to the inner membrane of the sperm.</p><p>&nbsp;</p><p>Acrosin digests the zona pellucida and membrane of the oocyte, part of the sperm's cell membrane then fuses with the egg cell's membrane, and the contents of the head sink into the egg</p>","Case 7, Embryology, Fertilisation"
"4667090","2020-10-07 23:15:51","1901137","3.0600","171","141","A","5","<p>A couple become pregnant after years of trying to conceive.</p><p>During the pregnancy they declined the Non-invasive pre-natal test offered to them by their midwife as they would not abort and did not want to risk miscarriage, so they would never take up the option to undergo amniocentesis or CVS if the NIPT results came back high risk.</p><p>At birth the infant is born showing characteristics of Trisomy 13, such as: polydactyly, cutis aplasia, hypotelorism &amp; omphalocele.&nbsp;</p><p>What is cutis aplasia?&nbsp;</p>","<p>Absence of skin &amp; underlying structures like bone</p>","<p>Born with extra digits&nbsp;</p>","<p>Infant's intestines or other organs stick outside of the abdomen through the umbilicus</p>","<p>Abnormal decrease in the distance between two organs</p>","<p>Prominent calcaneus in foot</p>","<p>All are descriptions of characteristic presentations of Patau syndrome&nbsp;</p><p>A describes cutis aplasia - which usually affects the scalp&nbsp;</p><p>B describes polydactyly&nbsp;</p><p>C describes omphalocele</p><p>D describes hypotelorism - which usually presents as an abnormal decrease in the distance between the two eyes&nbsp;</p><p>E describes rock bottom foot - which is also characteristic of Edwards syndrome&nbsp;</p>","Case 7, Chromosomal abnormalities, Trisomy 13"
"4667704","2020-10-08 02:16:27","0706162","3.2000","140","112","E","5","<p>A patient in the first trimester of pregnancy is concerned about the risk of birth defects due to the medications she is taking. She asks her GP which medication is most likely to cause birth defects. The GP replies:</p>","<p>Salbutamol</p>","<p>Prednisolone</p>","<p>Paracetamol</p>","<p>Folic acid</p>","<p>Sodium Valproate</p>","<p>Sodium Valproate is primarily used to treat epilepsy, but also bipolar disorder and migraines. It is known to cause birth defects: Spina bifida, learning difficulties, autism, developmental delay and several facial features e.g. epicanthic folds. Women who intend on becoming pregnant are advised to switch this medication if possible or to lower the dose. Folic acid should also be taken.&nbsp;</p>","embryology, Development of the normal embryo"
"4667863","2020-10-08 02:03:36","1903260","2.9500","166","135","D","5","<p>Robertsonian translocations can form between homologous or non-homologous acrocentric chromosomes. Between which chromosomes are non-homologous Robertsonian translocations most common?</p>","<p>21 and 22</p>","<p>13 and 15</p>","<p>14 and 22</p>","<p>13 and 14</p>","<p>14 and 15</p>","<p>see pre-recorded chromosome abnormalities lecture by Dr Andrew Fry (Case 7)</p>","Case 7, Genetics, Chromosomal abnormalities, Robertsonian translocations"
"4672718","2020-10-09 08:33:54","1903551","3.4700","170","137","C","5","<p>Sixteen percent of the population is affected by sickle cell disease (SCD) (This figure is not accurate). SCD is inherited in an autosomal recessive pattern. Using this information and the Hardy-Weinberg Equation, work out what percentage of the population is heterozygous for this trait.&nbsp;</p>","<p>36%</p>","<p>40%</p>","<p>48%</p>","<p>60%</p>","<p>68%</p>","<p>The correct answer is C = 48%.</p><p><br />16% of the population are recessive heterozygotes. Therefore, the q^2 value= 0.16. To find out the recessive allele frequency you square root the q^2 value= 0.40. So, in other words, the q value= 0.40. Now using the Hardy-Weinberg equation, which is p^2 + 2pq + q^2= 1, we know that p + q= 1. So, if we rearrange that equation, we can find out the dominant allele frequency (p).</p><p><br />P= 1 &ndash; q= 1 &ndash; 0.40= 0.60</p><p><br />So now we know that q= 0.40 and p= 0.60. We can figure out the percentage of the population who are heterozygotes for the trait, which is 2pq.</p><p><br />2 x p x q= 2 x 0.40 x 0.60= 0.48. Now multiply this by 100 to get a percentage, so you get 48%.</p>","Case 7, Genetics, Chromosomal abnormalities, genes, Hardy-Weinberg Equilibrium"
"4673172","2020-10-09 12:04:25","1900274","2.9900","162","131","B","5","<p>What is the correct notation of the karyotype of a male who possesses down syndrome?</p>","<p>45, XY, + 21</p>","<p>47, XY, +21</p>","<p>XY, 47, + 21</p>","<p>XY, 45, + 21</p>","<p>47 XY + 21</p>","<p>He has down syndrome so has an extra chromosome therefore chromosome number is 47, instead of 46. He is male therefore XY is present. The extra chromosome is chromosome 21 so this is added at the end with a plus. The correct answer is B.</p><p>A is incorrect as he hasn't lost a chromosome he has gained one.</p><p>C is incorrect as the notation order is incorrect. It is number, sex, and then changes against a particular chromosome.&nbsp;</p><p>D is incorrect as again the order is incorrect, as well as chromosome number.&nbsp;</p><p>E is incorrect as commas are not present between the notation.&nbsp;</p>","Case 7, Genetics, Chromosomal abnormalities, Down syndrome"
