"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"1231225","2014-11-02 13:03:42","7404847","3.7700","232","78","A","5","<p>An 18-year-old medical student decides he is going to get buff, so starts consuming protein shakes. Whilst drinking a shake after a massive session of squats in the gym, he contemplates the process of digestion. He recalls that one of the enzymes involved in protein digestion (a proteolytic enzyme) in the stomach is pepsin and it's inactive precursor (zymogen) is pepsinogen. But he can't remember which cells in the stomach secrete pepsinogen. He asks a fellow medical student who knows everything as she uses PeerWise everyday.</p><p>&nbsp;</p><p>Which cells does she tell him are responsible? &nbsp; &nbsp;</p>","<p>chief cells</p>","<p>d cells</p>","<p>g&nbsp;cells</p>","<p>Leydig cells</p>","<p style=""padding: 0px; margin: 0px;"">parietal cells</p>","<p>Chief cells (found in the body of the stomach) are responsible for secretion of pepsinogen, which is converted into the active proteolytic enzyme pepsin.</p><p>&nbsp;</p><p>Consumption of protein stimulates the production of gastrin, secreted by G cells. Gastrin then stimulates the secretion of both intrinsic factor and hydrochloric acid from parietal cells. The hydrochloric acid catalyses the conversion of pesinogen to pepsin. The acidic environment created and pepsin are both important for the hydrolysis of proteins. Intrinsic factor is responsible for assisting absorption of vitamin B12 found in proteinaceous foods such as meat, fish and eggs. D cells (found in the antrum of the stomach) are stimulated by Gastrin and secrete somatostatin, a hormone which inhibits Gastrin excretion from G cells and hydrochloric acid from parietal cells (a negative feedback mechanism presenting the stomach becoming too acidic).</p><p>&nbsp;</p><p>Leydig cells are testosterone producing cells found in the testicles. They are important for getting buff but have little direct influence on digestion.</p><p>&nbsp;</p><p>Random mnemonic: I remember that chief cells secrete pepsinogen and are found in the body of the stomach by picturing the image of a native American chief drinking pepsi, which goes into his body. &nbsp;</p><p>&nbsp;</p><p>Pepsi is the ancient Greek word for digestion.</p><p>&nbsp;</p><p>Apparently the drink ""Pepsi"" is so named as it was initially marketed as a digestive aid (although the sources for this are dubious), other dubious sources claim that Pepsi is called Pepsi because Pepsin is involved or was involved in it's production (again, this is from dodgy internet sources, not necessarily true). The rest of the information in this question is true though! Sources include: "" Marieb, Human anatomy and Physiology, 6th edition"" and ""Faller, The human body: an introduction to structure and function, 13th edition"". &nbsp;</p>","Gastrointestinal System"
"1235313","2014-11-04 07:14:08","7404847","3.3500","251","78","E","5","<p>In the schematic diagram of a human cell below, which label identifies the mitochondrion?</p><p>&nbsp;</p><p><img src=""../images/view.php?file=85978"" alt=""no description"" /></p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>","<p>3</p>","<p>4</p>","<p>6</p>","<p>7</p>","<p>10</p>","<p>1 = cell membrane</p><p>2 = vacuole</p><p>3 = rough endoplasmic reticulum</p><p>4 = golgi apparatus</p><p>5 = cytoplasm</p><p>6 = lysosome</p><p>7 = ribosome</p><p>8 = centrosome</p><p>9 = smooth endoplasmic reticulum</p><p>10 = <strong>mitochondrion</strong></p><p>&nbsp;</p>","cell biology"
"1239924","2014-11-05 23:23:22","1400171","3.2800","145","68","D","5","<p>A 20-year-old man has come to a clinic with blunt force trauma to the shoulder. They have what is known as 'winging of the scapula'.</p><p>&nbsp;</p><p>What nerve is it most likely has been damaged?</p>","<p>Median nerve&nbsp;</p>","<p>Phrenic nerve</p>","<p>Musculocutaneous nerve</p>","<p>Long thoracic nerve&nbsp;</p>","<p>Axillary nerve</p>","<p>Damage to the long thoracic nerve causes winging of the scapula and this can be caused by blunt force trauma to the shoulder.</p>","Nervous system"
"1239930","2014-11-05 23:24:01","1402995","1.7400","94","62","A","4","<p>If &nbsp;a 18 year &nbsp;injures the surgical neck of the humerus then what is the most likely nerve he will damage ?</p>","<p>Radial nerve</p>","<p>Brachial nerve</p>","<p>Ulnar nerve</p>","<p>Long thoracic nerve</p>","","","Anatomy"
"1239932","2014-11-05 23:24:07","1203010","3.0500","165","87","B","5","<p>A person has sustained a minor wound to their hand, which appears to be infected. It is producing ""Pus-like"" exudate.</p><p>&nbsp;</p><p>Which type of white blood cell is likely to form most of the exudate?</p>","<p>Lysosomes</p>","<p>Phagocytes</p>","<p>Eosinophils</p>","<p>B lymphocytes</p>","<p>T lymphocytes</p>","<p>Following phagocytosis, the cell tends to ""die"" along with the pathogen, and this is what will be seen as "" pus""</p>","Immunology"
"1239933","2014-11-05 23:24:09","1105334","3.0500","88","55","D","5","<p>A 63 year old lady presents to the clinic with a winged scapula. Which nerve is most likely to have been damaged in this case?</p>","<p>Medial Pectoral Nerve</p>","<p>Thoracodorsal Nerve</p>","<p>Radial Nerve</p>","<p>Long Thoracic Nerve</p>","<p>Axillary Nerve</p>","<p>Damage to the long thoracic nerve causes paralysis of the serratus anterior muscle, resulting in a winged scapula.</p>","Anatomy"
"1239934","2014-11-05 23:24:13","1301521","3.1600","102","57","D","5","<p>Caty has fallen off her scooter and landed awkwardly on her wrist. Suspecting it was broken, she presented her inhiry in A&amp;E. After waiting for 3 house she was finally told she has indeed fractured her wrist, or a particular carpal bone in the base of the hand. She received the usual treatment and recovered accordingly. However she finds, months after treatment that it still aches occasionally. Which Carpal bone is she likely to have fractured. (This occurs relatively commonly)&nbsp;</p>","<p>Capitulum</p>","<p>Trapezoid</p>","<p>Trapezium</p>","<p>Scaphoid</p>","<p>Lunate</p>","<p>The Scaphoid Carpal bone is most commonly fractured in the wrist. Often it fails to heal properly for the rest of a patients' life.&nbsp;</p>","Osteology"
"1239937","2014-11-05 23:24:21","1302823","1.0300","65","36","D","5","<p>How old is this lecturer?&nbsp;</p>","<p>39</p>","<p>45</p>","<p>49</p>","<p>53</p>","<p>57</p>","<p>D. Hair colour and wrinkles suggest age is 53</p>","-"
"1239939","2014-11-05 23:24:25","1404656","2.8300","86","53","E","5","<p>Where does the deltoid insert on the humerus?&nbsp;</p>","<p>Deltoid groove</p>","<p>Deltoid socket&nbsp;</p>","<p>Intertubercular groove</p>","<p>Glenohumeral joint</p>","<p>Deltoid Tuberosity</p>","<p>The deltoid inserts onto the Deltoid Tuberosity on the humerus which is located distal to the head&nbsp;</p>","Anatomy"
"1239940","2014-11-05 23:24:26","1405311","2.4100","112","66","C","5","<p>Where are the most mitochondria located?</p>","<p>Liver</p>","<p>Brain</p>","<p>Muscles</p>","<p>Heart</p>","<p>Skin</p>","","cell biology"
