"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"4770476","2020-11-03 23:18:09","2010512","3.3300","128","102","B","5","<p>The anterior compartment of the arm is generally innervated by the median nerve. Which two muscles are the exception to this rule?</p>","<p>lateral half digitorum superficialis, pronator quadratus&nbsp;</p>","<p>medial half of flexor digitorum profundus, flexor capri ulnaris</p>","<p>flexor capri ulnaris, medial half of flexor digitorum superficialis</p>","<p>palmaris longus, lateral half of flexor digitorum profundus</p>","<p>pronator quadratus, palmares longus</p>","<p>Both the medial half (ring and little finger) of flexor digitorum profundus and flexor capri ulnaris are innervated by the&nbsp;<strong>ulnar&nbsp;</strong>nerve.&nbsp;</p>","anatomy, upper limb, muscles, innervation, nerves"
"4770477","2020-11-03 23:18:09","2008720","2.8100","117","98","A","5","<p>Sue, 67, can only abduct her arm a bit.</p><p>&nbsp;</p><p>What muscle is injured?</p>","<p>Deltoid</p>","<p>Infraspinatus</p>","<p>Rhomboid Minor</p>","<p>Supraspinatus</p>","<p>Teres Major</p>","<p>Although the supraspinatus abducts the arm for the first 15 degrees, the deltoid muscle does the rest.</p><p>&nbsp;</p><p>Infraspinatus is incorrect because it is responsible for lateral rotation.</p><p>Rhomboid Major is incorrect because it is responsible for retraction.</p><p>Supraspinatus is incorrect because it is uninjured, evident by the slight abduction Sue can do.</p><p>Teres Major is incorrect because it is responsible for medial rotation &amp; adduction.</p>","Upper Limb"
"4770522","2020-11-03 23:35:26","2003587","2.7400","126","94","B","5","<p>Which of the nerves listed below is directly responsible for the innervation of the lateral aspect of flexor digitorum profundus? Choose the most correct answer.</p>","<p>Radial nerve</p>","<p>Anterior interosseous nerve</p>","<p>Median nerve</p>","<p>Ulnar nerve</p>","<p>Posterior interosseous nerve</p>","<p>The anterior interosseous nerve is a branch of the median nerve which is responsible for innervation of the lateral aspect of the flexor digitorum profundus.</p>","Upper limb, Nerves"
"4770579","2020-11-03 23:55:47","2003587","3.4200","137","106","C","4","<p>Shown below is a man with an exceptionally developed biceps muscle. Which of the following functions of the biceps brachii, specifically, is false?</p><p><img src=""../images/view.php?file=412955"" alt=""Biceps laddo"" /></p>","<p>Flexion of the arm at the elbow joint</p>","<p>Supination of the forearm</p>","<p>Adduction of the arm</p>","<p>Flexion of the arm at the glenohumeral joint</p>","","<p>The biceps brachii is a strong flexor of the arm at the elbow joint and a weak flexor of the arm at the glenohumeral joint. Furthermore, the insertion of the biceps brachii at the bicipital aponeurosis in the cubital fossa acts as a tendon, which supinates the forearm as the biceps brachii is flexed.</p>","anatomy, muscles, upper limb"
"4770658","2020-11-04 00:31:46","2003587","3.4800","101","75","A","5","<p>In the process of glycolysis there are 3 regulatory steps. Which of the following products is a regulated step in glycolysis?</p>","<p>Fructose - 1,6 - bisphosphate</p>","<p>2 - Phosphoglycerate</p>","<p>Glyceraldehyde - 3 - phosphate&nbsp;</p>","<p>Fructose - 6 - phosphate</p>","<p>Dihydroxyacetone phosphate</p>","<p>The answer is Fructose -1,6- bisphosphate. This step is regulated by Phosphofructokinase (PFK) which regulates the conversion of Fructose -6- phosphate (F-6P). This is a rate limiting step. The enzyme PFK is downregulated by the allosteric binding of ATP, and upregulated by the presence of AMP, which competes for the allosteric site with ATP. In muscles, lower pH caused by lactic acid downregulates PFK, which acts to protect cells by reducing the amount of ATP produced and therefore the activity of the muscles.</p>","muscles, Biochemistry"
"4770685","2020-11-04 00:42:14","1606254","3.3800","129","104","D","5","<p>A 33-year old man presents with a penetrating injury to the superior mediastinum. Which of the following vessels is at risk of damage in this individual?</p>","<p>Descending aorta</p>","<p>Bronchial artery</p>","<p>Hemiazygos vein</p>","<p>Arch of aorta</p>","<p>Inferior vena cava</p>","<p>The arch of aorta is the only vessel (or part of vessel) that is present in the <strong>superior</strong> mediastinum. The other vessels would all be at risk if the injury was sustained instead to the&nbsp;<strong>posterior</strong> mediastinum.</p>","anatomy, Neurovasculature, Blood vessels, Thorax"
"4770703","2020-11-04 00:47:28","2003430","3.5100","104","77","D","5","<p>A male 8 year old child arrives in AE presenting with a joint bleed in the left knee after falling off his bike. The mother of the child says that he (the child) has been diagnosed with haemophilia A. What coagulation factor is affected by this condition?</p><p>&nbsp;</p>","<p>Coagulation Factor 9</p>","<p>Coagulation Factor 11</p>","<p>Coagulation Factor 5</p>","<p>Coagulation Factor 8</p>","<p>Coagulation Factor 2</p>","<p>Coagulation Factor 8 is the&nbsp;coagulation factor deficiency/malfunction that is responsible for Haemophilia A- therefore is the correct answer</p><p>Coagulation Factor 9 is the coagulation factor deficiency/malfunction that is responsible for Haemophilia B</p><p>Coagulation Factor 11&nbsp;s the coagulation factor deficiency/malfunction that is responsible for Haemophilia C</p><p>Coagulation Factor 2 is the coagulation factor that converts fibrinogen monomers to fibrin polymers</p>","Haemostasis"
"4770708","2020-11-04 00:48:41","2003587","3.3000","120","98","D","5","<p>Which of these muscles initiates the abduction of the shoulder?</p>","<p>Deltoid</p>","<p>Infraspinatus</p>","<p>Latissimus dorsi</p>","<p>Supraspinatus</p>","<p>Teres major</p>","<p>The intermediate portion of the deltoid muscle is the main abductor of the arm. However, it can only perform this after abduction has been initiated by the supraspinatus. Damage to the tendon of supraspinatus is a common form of rotator cuff disease.</p>","anatomy, muscles, upper limb"
"4770724","2020-11-04 00:54:54","2008305","3.2800","87","74","B","5","<p>What is the main function of the middle fibres the deltoid muscle?</p>","<p>Flexion of the arm&nbsp;</p>","<p>Abduction of the shoulder</p>","<p>Extension of the arm</p>","<p>Adduction of the shoulder</p>","<p>Medial rotation of the arm</p>","<p>The middle fibres of the deltoid muscle abduct the arm at the shoulder joint. Supraspinatous abducts the shoulder to 15 degrees, middle deltoid then abducts the shoulder from 15 to 90 degrees, and finally serratus anterior and trapezius rotate the scapula for full abduction of the upper extemity.&nbsp;&nbsp;</p>","anatomy"
"4770746","2020-11-04 01:03:53","1606254","3.5100","130","98","C","5","<p>The diaphragm is located at the floor of the inferior mediastinum. At which level of thoracic vertebrae do the inferior vena cava and the terminal branches of the right phrenic nerve traverse the diaphragm?</p>","<p>T10</p>","<p>T11</p>","<p>T8</p>","<p>T9</p>","<p>T12</p>","<p><strong>T8</strong> is the level of the <strong>caval hiatus</strong>; the opening of the diaphragm through which the inferior vena cava and terminal branches of the right phrenic nerve pass.<br /><br /></p><p><strong>T10&nbsp;</strong>is the level of the&nbsp;<strong>oesophageal hiatus</strong> of the diaphragm; through which the oesophagus, right/left vagal nerves and oesophageal branches of the left gastric vessels pass.<br /><br /><strong>T12&nbsp;</strong>is the level of the&nbsp;<strong>aortic hiatus&nbsp;</strong>of the diaphragm; through which the aorta, thoracic duct and the azygos vein pass.</p><p>&nbsp;</p>","Neurovasculature, nerves, Blood vessels, Thorax, anatomy"
